Address,URL
"1404 NE 9th Pl, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1404-NE-9th-Pl-Cape-Coral-FL-33909/103348431_zpid/
"3617 Durden Pkwy, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3617-Durden-Pkwy-Cape-Coral-FL-33993/444482285_zpid/
"4119 NW 36th Pl, Cape Coral, FL 33993",https://www.zillow.com/homedetails/4119-NW-36th-Pl-Cape-Coral-FL-33993/103376071_zpid/
"21 NW 19th Pl, Cape Coral, FL 33993",https://www.zillow.com/homedetails/21-NW-19th-Pl-Cape-Coral-FL-33993/103198440_zpid/
"2719 NW 26th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2719-NW-26th-St-Cape-Coral-FL-33993/103256695_zpid/
"2002 NE 6th Pl #37, Cape Coral, FL 33909",https://www.zillow.com/homedetails/2002-NE-6th-Pl-37-Cape-Coral-FL-33909/441218296_zpid/
"3218 NW 14th St #17, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3218-NW-14th-St-17-Cape-Coral-FL-33993/446892188_zpid/
"216 NW 10th Ter, Cape Coral, FL 33993",https://www.zillow.com/homedetails/216-NW-10th-Ter-Cape-Coral-FL-33993/103345397_zpid/
"1013 NE 16th Ter, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1013-NE-16th-Ter-Cape-Coral-FL-33909/66158535_zpid/
"2625 NW 26th Pl, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2625-NW-26th-Pl-Cape-Coral-FL-33993/66157572_zpid/
"2906 NW 25th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2906-NW-25th-St-Cape-Coral-FL-33993/103209328_zpid/
"2032 NW 4th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2032-NW-4th-St-Cape-Coral-FL-33993/103234579_zpid/
"3213 Andalusia Boulevard, Cape Coral, FL 33909",https://www.zillow.com/homedetails/3213-Andalusia-Blvd-Cape-Coral-FL-33909/103259994_zpid/
